cpus=4
 inference_drive-203126 [002] 22650.244352: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244358: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244367: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244373: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244384: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244390: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244400: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244406: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244415: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244420: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244429: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244435: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244443: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244449: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244458: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244465: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244474: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244480: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244492: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244498: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244507: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244513: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244522: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244528: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244536: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244542: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244552: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244558: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244567: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244574: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244583: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244590: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244599: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244606: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244616: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244622: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244632: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244638: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244646: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244651: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244657: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244662: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244669: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244674: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244680: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244684: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244691: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244696: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244702: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244706: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244713: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244717: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244723: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244728: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244734: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244739: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244746: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244750: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244757: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244762: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244769: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244773: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244781: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244786: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244801: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244807: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244816: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
